Etapa,CPC DANE Ver. 2.1 A.C,Categoria,Subcategoria,Producto,Unidad de medida recomendada por el DANE,Errores_detectados
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Aves,Alas de pollo,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Aves,Menudencias de pollo,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Aves,Pescuezo de pollo,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Bovino,Carne res molida mixta,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Bovino,Corazón de res,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Bovino,Costilla de res,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Bovino,Hígado de res,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Bovino,Lengua de res,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Bovino,Mondongo de res,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Porcino,Morcilla cruda,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Bovino,Pajarilla de res,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Porcino,Cabeza de cerdo,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Porcino,Chunchullo o Chunchurria,Kilogramo, 
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Porcino,Oreja de cerdo,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,2111101,Carne,Porcino,Tocino fresco,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Anón,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Atemoya,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Bilimbí,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Ciruela amarilla,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Curuba roja,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Durazno amarillo,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Fruta pan,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Fruta pan verde,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Granadilla amarilla,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Grosella negra,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Grosella roja,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Guayaba agria,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Guayaba pera,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Icaco,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Kiwi amarillo,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Lulo castilla,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Lulo híbrido,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Mangostán pequeño,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Maracuyá grande,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Maracuyá rojo,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Melón cantalupo,Kilogramo,
25 Abril 2026 - Incluir y capturar imagen,0134199,Frutas frescas,Tropicales,Melón galia,Kilogramo,
