"Etapa
",Nombre fotografia,CPC DANE Ver. 2.1 A.C,Categoría,Subcategoría,Producto,Unidad de medida DANE,Errores_detectados
Lista original con imagen,Casabe Unidad,2412101,Alimentos preparados,Derivados de yuca,Casabe,Kilogramo,
Lista original con imagen,,2411101,Alimentos preparados,Refrigerio,Quesadilla de bocadillo y queso,Kilogramo,
Lista original con imagen,,3135002,Artesanías,Canastas,Canasta caña flecha,Unidad,
Lista original con imagen,,3135002,Artesanías,Canastas,Canasta de paja con tapa,Unidad,
Lista original con imagen,,3135002,Artesanías,Canastas,Canasta de paja sin tapa,Unidad,
Lista original con imagen,,3135002,Artesanías,Canastas,Cestos de mimbre,Unidad,
Lista original con imagen,,4299999,Artesanías,Contenedores,Gateros,Unidad,
Lista original con imagen,,3135003,Artesanías,Decoración,Aro de bejuco,Unidad,
Lista original con imagen,,3135003,Artesanías,Decoración,Bola artesanal de fique,Unidad,
Lista original con imagen,,3135003,Artesanías,Decoración,Bola artesanal de mimbre,Unidad,
Lista original con imagen,Cortina de bambu 1mt por 1.80 mts unidad,3152101,Artesanías,Decoración,Cortina de bambú,Unidad,
Lista original con imagen,,3939099,Artesanías,Decoración,Espejo,Unidad,
Lista original con imagen,,3939099,Artesanías,Decoración,Espejo calado,Unidad,
Lista original con imagen,,3152101,Artesanías,Iluminación,Lámpara de mimbre,Unidad,
Lista original con imagen,,3152101,Artesanías,Iluminación,Lámpara de mimbre natural,Unidad,
Lista original con imagen,,3137001,Artesanías,Textiles,Guapa doble faz,Unidad,
Lista original con imagen,,3137001,Artesanías,Textiles,Tapete de fibra grande,Unidad,
Lista original con imagen,,3137001,Artesanías,Textiles,Tapete de fibra mediano,Unidad,
Lista original con imagen,,3137001,Artesanías,Textiles,Tapete de fibra pequeño,Unidad,
Lista original con imagen,,3137001,Artesanías,Textiles,Tapete de fibra pequeño calado,Unidad,
Lista original con imagen,Aguardiente de coca Unidad,2423101,Bebidas alcohólicas,Licores,Aguardiente de coca,Litro,
Lista original con imagen,,2423901,Bebidas alcohólicas,Licores,Coca ron,Litro,
Lista original con imagen,Crema de whisky cafe 1 Frasco,2424101,Bebidas alcohólicas,Licores,Crema de whisky café,Litro,
Lista original con imagen,"Vino Artesanal $35.000 Litro , Vino artesanal X 280ml Scop 20.000",2421101,Bebidas alcohólicas,Vinos,Vino,Litro,
Lista original con imagen,"Vino Artesanal $35.000 Litro , Vino artesanal X 280ml Scop 20.000",2421101,Bebidas alcohólicas,Vinos,Vino artesanal,Litro, 
Lista original con imagen,Vino de maracuya Botella,2421101,Bebidas alcohólicas,Vinos,Vino de maracuyá,Litro, 
Lista original con imagen,Vino tinto artesanal Botella,2421101,Bebidas alcohólicas,Vinos,Vino tinto artesanal,Litro, 
Lista original con imagen,Café molido Libra,0170101,Bebidas calientes,Café,Café molido,Kilogramo,
Lista original con imagen,Cafe tostado Libra,0170101,Bebidas calientes,Café,Café tostado,Kilogramo,
Lista original con imagen,Cafe verde Libra,0170101,Bebidas calientes,Café,Café verde,Kilogramo,
Lista original con imagen,Chocolate costeño Libra o Kilo,2441101,Bebidas calientes,Chocolate,Chocolate costeño,Kilogramo,
Lista original con imagen,,2441101,Bebidas calientes,Chocolate,Chocolate orgánico en bola,Kilogramo,
Lista original con imagen,"Flor de Jamaica Gramo, libra, kilo",0192125,Bebidas no alcohólicas,Infusiones,Flor de jamaica,Kilogramo,
Lista original con imagen,"Té mocha Gramo, libra, kilo",2449001,Bebidas no alcohólicas,Infusiones ,Té mocha,Kilogramo,
Lista original con imagen,"Té rojo Gramo, libra, kilo",2449001,Bebidas no alcohólicas,Infusiones ,Té rojo,Kilogramo,
Lista original con imagen,Yerba mate Unidad,2449001,Bebidas no alcohólicas,Infusiones ,Yerba mate,Kilogramo,
Lista original con imagen,"Zen de alejandria Gramo, libra, kilo",2449001,Bebidas no alcohólicas,Infusiones ,Zen,Kilogramo,
Lista original con imagen,"Zen de alejandria Gramo, libra, kilo",2449001,Bebidas no alcohólicas,Infusiones ,Zen de Alejandría,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2114101,Carne,Aves,Contramuslo de pollo,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2114201,Carne,Aves,Muslo de pollo,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2114301,Carne,Aves,Pechuga de pollo,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2111101,Carne,Bovino,Bovino entero,Kilogramo, 
"Identificado de lista de analisis de precio, pero sin imagen",,2391201,Carne,Bovino,Tabla de res,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2391301,Carne,Bovino,Tres telas de res,Kilogramo,
"Identificado de lista de analisis de precio, pero sin imagen",,2111202,Carne,Bovinos,Cascara de res,Kilogramo,
